Ticket;Open Time;Type;Size;Item;Price;S / L;T / P;Close Time;Price;Commission;Taxes;Swap;Profit
174853802;2023.11.08 15:55:04;sell;1.00;oil-dec23;76.96;76.78;0.00;2023.11.08 16:02:25;76.79;0.00;0.00;0.00;15.93
174853752;2023.11.08 15:52:27;sell;0.01;usdjpy#;150.969;150.877;0.000;2023.11.08 16:03:09;150.871;0.00;0.00;0.00;0.60
174853749;2023.11.08 15:52:08;sell;0.01;usdchf#;0.90085;0.90017;0.00000;2023.11.08 16:08:16;0.90007;0.00;0.00;0.00;0.81
174853743;2023.11.08 15:51:38;sell;0.01;audchf#;0.57839;0.57833;0.00000;2023.11.08 16:37:40;0.57833;0.00;0.00;0.00;0.06
174849383;2023.11.08 11:45:19;sell limit;0.01;silver#;22.522;0.000;0.000;2023.11.08 11:45:45;22.510;cancelled;;;
174848650;2023.11.08 11:10:47;buy;0.10;silver#;22.568;22.619;0.000;2023.11.08 15:41:04;22.619;0.00;0.00;0.00;23.91
174847006;2023.11.08 09:44:35;buy;0.01;usdchf#;0.90169;0.90173;0.00000;2023.11.08 10:20:17;0.90173;0.00;0.00;0.00;0.04
174846997;2023.11.08 09:42:45;buy;0.10;usdchf#;0.90177;0.90182;0.00000;2023.11.08 10:59:22;0.90181;0.00;0.00;0.00;0.42
174845655;2023.11.08 08:22:11;sell;0.01;gold#;1968.41;1968.39;1966.11;2023.11.08 08:26:35;1968.41;0.00;0.00;0.00;0.00
174839818;2023.11.07 22:08:24;buy;0.01;audusd#;0.64290;0.64292;0.00000;2023.11.07 22:17:22;0.64308;0.00;0.00;0.00;0.17
174839602;2023.11.07 21:57:57;buy;0.01;gbpusd#;122.966;0.00000;0.00000;2023.11.07 22:22:52;122.952;0.00;0.00;0.00;-0.13
174838871;2023.11.07 20:59:42;sell;0.01;gbpjpy#;184.908;0.000;0.000;2023.11.07 22:22:56;184.978;0.00;0.00;0.00;-0.43
174838047;2023.11.07 20:16:15;sell;0.01;gbpusd#;122.805;0.00000;0.00000;2023.11.07 22:22:57;122.964;0.00;0.00;0.00;-1.48
174832704;2023.11.07 15:55:19;sell;0.01;gold#;1965.35;1961.62;1959.39;2023.11.07 17:02:21;1961.65;0.00;0.00;0.00;3.47
174831223;2023.11.07 14:56:55;buy;0.01;gold#;1959.23;1959.46;0.00;2023.11.07 15:04:17;1959.36;0.00;0.00;0.00;0.12
174830428;2023.11.07 14:21:18;sell;0.01;gbpusd#;122.985;122.979;0.00000;2023.11.07 14:25:28;122.979;0.00;0.00;0.00;0.06
174830367;2023.11.07 14:16:56;sell;0.10;eurusd#;106.821;106.807;0.00000;2023.11.07 14:43:49;106.807;0.00;0.00;0.00;1.31
174830362;2023.11.07 14:16:39;sell;0.01;gbpjpy#;184.962;184.918;0.000;2023.11.07 19:06:34;184.919;0.00;0.00;0.00;0.26
174830035;2023.11.07 14:03:54;sell;0.01;gbpjpy#;184.860;184.850;0.000;2023.11.07 19:17:19;184.850;0.00;0.00;0.00;0.06
174830034;2023.11.07 14:03:45;sell;0.01;gbpusd#;122.914;122.902;0.00000;2023.11.07 14:10:21;122.906;0.00;0.00;0.00;0.07
174829671;2023.11.07 13:45:13;buy;0.01;gold#;1963.76;1964.17;0.00;2023.11.07 13:51:14;1964.15;0.00;0.00;0.00;0.37
174829484;2023.11.07 13:40:45;buy;0.01;gold#;1963.64;1963.68;0.00;2023.11.07 13:41:44;1963.68;0.00;0.00;0.00;0.04
174829471;2023.11.07 13:40:08;buy;0.10;audusd#;0.64121;0.00000;0.00000;2023.11.07 13:55:07;0.64136;0.00;0.00;0.00;1.40
174829012;2023.11.07 13:26:58;buy;0.05;audusd#;0.64170;0.00000;0.00000;2023.11.07 14:01:10;0.64178;0.00;0.00;0.00;0.37
174828066;2023.11.07 12:34:29;sell;0.01;silver#;22.701;22.694;0.000;2023.11.07 12:40:44;22.694;0.00;0.00;0.00;0.33
174827878;2023.11.07 12:26:09;sell;0.10;eurusd#;106.953;106.907;0.00000;2023.11.07 12:37:36;106.896;0.00;0.00;0.00;5.33
174827827;2023.11.07 12:23:17;buy;0.01;silver#;22.659;0.000;0.000;2023.11.07 12:31:58;22.673;0.00;0.00;0.00;0.65
174827386;2023.11.07 12:00:16;buy;0.10;audusd#;0.64216;0.64224;0.00000;2023.11.07 12:22:21;0.64238;0.00;0.00;0.00;2.06
174826503;2023.11.07 11:35:18;sell;0.01;gold#;1967.74;1966.94;0.00;2023.11.07 11:43:30;1966.94;0.00;0.00;0.00;0.75
174826497;2023.11.07 11:34:35;buy;0.01;gbpjpy#;185.159;185.176;0.000;2023.11.07 15:04:01;185.171;0.00;0.00;0.00;0.07
174826495;2023.11.07 11:34:03;buy;0.01;gbpusd#;123.137;0.00000;0.00000;2023.11.07 22:22:57;122.952;0.00;0.00;0.00;-1.73
174825724;2023.11.07 11:12:24;buy;0.01;gold#;1965.13;1965.43;0.00;2023.11.07 11:14:23;1965.41;0.00;0.00;0.00;0.26
174825532;2023.11.07 11:06:05;buy;0.01;nzdusd#;0.59220;0.59237;0.00000;2023.11.07 12:35:53;0.59237;0.00;0.00;0.00;0.16
174825520;2023.11.07 11:05:44;buy;0.10;audusd#;0.64300;0.64325;0.00000;2023.11.07 21:05:44;0.64324;0.00;0.00;0.00;2.24
174825439;2023.11.07 11:03:56;buy;0.01;audchf#;0.57834;0.00000;0.00000;2023.11.07 12:38:10;0.57838;0.00;0.00;0.00;0.04
174825010;2023.11.07 10:54:31;buy;0.01;usdjpy#;150.279;150.327;0.000;2023.11.07 11:03:15;150.322;0.00;0.00;0.00;0.27
174824963;2023.11.07 10:50:31;sell;0.01;audchf#;0.57889;0.57853;0.00000;2023.11.07 11:03:48;0.57836;0.00;0.00;0.00;0.56
174824337;2023.11.07 10:04:08;sell;0.05;eurusd#;106.990;106.978;0.00000;2023.11.07 10:16:40;106.981;0.00;0.00;0.00;0.42
174824069;2023.11.07 09:53:55;buy;0.01;audchf#;0.57857;0.57872;0.00000;2023.11.07 10:15:34;0.57872;0.00;0.00;0.00;0.16
174824068;2023.11.07 09:53:40;buy;0.10;audusd#;0.64244;0.64266;0.00000;2023.11.07 10:06:22;0.64265;0.00;0.00;0.00;1.96
174822165;2023.11.07 08:28:55;sell;0.10;usdchf#;0.90096;0.90091;0.00000;2023.11.07 09:34:17;0.90091;0.00;0.00;0.00;0.52
174822155;2023.11.07 08:28:18;buy;0.10;audusd#;0.64319;0.64334;0.00000;2023.11.07 10:45:34;0.64354;0.00;0.00;0.00;3.27
